group	rep	protein	locus	name	log2intensity	fraction
Geo_0	Geo_0_1	AKU25434.1	IB49_01810	3-oxoadipate enol-lactonase	21.151985175193765	3.217055806203221e-4
Geo_0	Geo_0_1	AKU25435.1	IB49_01815	alpha/beta hydrolase	22.530158239890923	8.362382457958009e-4
Geo_0	Geo_0_1	AKU25440.1	IB49_01845	transposase	18.546353836195863	5.28549180721674e-5
Geo_0	Geo_0_1	AKU25443.1	IB49_01865	3-hydroxybutyrate dehydrogenase	18.23387228860718	4.2561711646490395e-5
Geo_0	Geo_0_1	AKU25446.1	IB49_01895	transposase	16.302056155557004	1.1155382931106897e-5
Geo_0	Geo_0_1	AKU25447.1	IB49_01905	pterin-4-alpha-carbinolamine dehydratase	21.17489788005374	3.2685565719802704e-4
Geo_0	Geo_0_1	AKU25448.1	IB49_01910	endonuclease	20.87026735174007	2.6463853244291033e-4
Geo_0	Geo_0_1	AKU25455.1	IB49_01965	hypothetical protein	20.730818825759382	2.4025635850893432e-4
Geo_0	Geo_0_1	AKU25457.1	IB49_01975	glycerol-3-phosphate ABC transporter permease	19.54034825369976	1.0527070687910489e-4
Geo_0	Geo_0_1	AKU25466.1	IB49_02040	dihydroxy-acid dehydratase	21.88455245771544	5.34543829386299e-4
Geo_0	Geo_0_1	AKU25467.1	IB49_02045	gamma-glutamyl kinase	20.075981367181644	1.5259811642860305e-4
Geo_0	Geo_0_1	AKU25468.1	IB49_02050	gamma-glutamyl phosphate reductase	21.34382260904113	3.6745775430489574e-4
Geo_0	Geo_0_1	AKU25472.1	IB49_02075	shikimate kinase	20.867907175377884	2.642059510811069e-4
Geo_0	Geo_0_1	AKU25473.1	IB49_02095	3-dehydroquinate dehydratase	19.521572294285658	1.0390953759747288e-4
Geo_0	Geo_0_1	AKU25474.1	IB49_02105	hydrolase	20.70689776697129	2.363055566765132e-4
Geo_0	Geo_0_1	AKU25475.1	IB49_02110	hypothetical protein	19.973869299700358	1.4217079036173908e-4
Geo_0	Geo_0_1	AKU25477.1	IB49_02135	hypothetical protein	22.738743920032995	9.663191199657431e-4
Geo_0	Geo_0_1	AKU25478.1	IB49_02140	hypothetical protein	18.826295069747736	6.417355705240549e-5
Geo_0	Geo_0_1	AKU25479.1	IB49_02145	rhodanese domain protein	22.57552056647422	8.629496309090537e-4
Geo_0	Geo_0_1	AKU25482.1	IB49_02160	hypothetical protein	16.649236406188784	1.4190449492369764e-5
Geo_0	Geo_0_1	AKU25483.1	IB49_02165	hypothetical protein	20.329349279882123	1.818948967559189e-4
Geo_0	Geo_0_1	AKU25485.1	IB49_02175	methyltransferase type 11	20.21373266293975	1.6788675888211897e-4
Geo_0	Geo_0_1	AKU25487.1	IB49_02190	glucose-6-phosphate isomerase	22.78696835990139	9.99165835245487e-4
Geo_0	Geo_0_1	AKU25488.1	IB49_02195	6-phosphogluconate dehydrogenase	18.850342573623433	6.525219604121111e-5
Geo_0	Geo_0_1	AKU25490.1	IB49_02205	butanol dehydrogenase	16.34407006368391	1.1485024593085615e-5
Geo_0	Geo_0_1	AKU25491.1	IB49_02210	HxlR family transcriptional regulator	18.737420234482897	6.033955751102752e-5
Geo_0	Geo_0_1	AKU25492.1	IB49_02215	acetyltransferase	21.35093541119135	3.6927387467396334e-4
Geo_0	Geo_0_1	AKU25493.1	IB49_02220	GNAT family acetyltransferase	21.163948286136392	3.243843175059861e-4
Geo_0	Geo_0_1	AKU25496.1	IB49_02240	3-hexulose-6-phosphate synthase	21.42928371383089	3.898825272634924e-4
Geo_0	Geo_0_1	AKU25498.1	IB49_02255	DNA helicase	19.88466773066446	1.3364663543577666e-4
Geo_0	Geo_0_1	AKU25499.1	IB49_02260	phosphoribosyl-ATP pyrophosphohydrolase	20.93720912858597	2.7720723581882786e-4
Geo_0	Geo_0_1	AKU25502.1	IB49_02285	dehydrogenase	17.165121825269217	2.029051815761934e-5
Geo_0	Geo_0_1	AKU25503.1	IB49_02290	PalA	16.674395300034913	1.4440084477724231e-5
Geo_0	Geo_0_1	AKU25509.1	IB49_02340	endonuclease	21.397975078453996	3.8151264256329763e-4
Geo_0	Geo_0_1	AKU25510.1	IB49_02345	hypothetical protein	22.74130155712365	9.680337482156856e-4
Geo_0	Geo_0_1	AKU25514.1	IB49_02375	hypothetical protein	20.307245605786203	1.7912930700223978e-4
Geo_0	Geo_0_1	AKU25519.1	IB49_02410	peptidase M29	21.623200686094506	4.459730321642833e-4
Geo_0	Geo_0_1	AKU25520.1	IB49_02415	hypothetical protein	17.84613103934072	3.253099436886016e-5
Geo_0	Geo_0_1	AKU25521.1	IB49_02420	GTP-binding protein	20.258608109849945	1.7319099231480494e-4
Geo_0	Geo_0_1	AKU25523.1	IB49_02435	sporulation protein SpoOM	20.939204322920073	2.7759086847384447e-4
Geo_0	Geo_0_1	AKU25524.1	IB49_02445	membrane protein	19.92719975061407	1.3764531804545763e-4
Geo_0	Geo_0_1	AKU25525.1	IB49_02485	hypothetical protein	21.100038461957986	3.1032808096994685e-4
Geo_0	Geo_0_1	AKU25526.1	IB49_02490	heat-shock protein Hsp20	20.26023550108921	1.7338646573197218e-4
Geo_0	Geo_0_1	AKU25527.1	IB49_02495	LacI family transcriptional regulator	18.28500399308947	4.4097225131353435e-5
Geo_0	Geo_0_1	AKU25528.1	IB49_02500	galactose-1-phosphate uridylyltransferase	17.84437084246978	3.2491328302413065e-5
Geo_0	Geo_0_1	AKU25529.1	IB49_02510	galactokinase	17.241476155140266	2.139331477585858e-5
Geo_0	Geo_0_1	AKU25530.1	IB49_02515	hypothetical protein	17.93222714835337	3.453145276235602e-5
Geo_0	Geo_0_1	AKU25532.1	IB49_02540	glycerol-3-phosphate responsive antiterminator GlpP	17.998471064408584	3.6153991831951134e-5
Geo_0	Geo_0_1	AKU25537.1	IB49_02585	hypothetical protein	21.100322144659987	3.103891079797382e-4
Geo_0	Geo_0_1	AKU25540.1	IB49_02605	Holliday junction resolvase	19.036271316048822	7.422757300878394e-5
Geo_0	Geo_0_1	AKU25541.1	IB49_02615	endonuclease III	20.39094449713791	1.898289837074382e-4
Geo_0	Geo_0_1	AKU25543.1	IB49_02625	asparagine--tRNA ligase	22.704358202019616	9.435598228992925e-4
Geo_0	Geo_0_1	AKU25544.1	IB49_02630	aspartate aminotransferase	25.36135724052667	0.005951217862623585
Geo_0	Geo_0_1	AKU25545.1	IB49_02645	DNA polymerase III subunit epsilon	19.81573138120236	1.2741076427941222e-4
Geo_0	Geo_0_1	AKU25546.1	IB49_02650	aspartate decarboxylase	20.83432942077692	2.581277431341487e-4
Geo_0	Geo_0_1	AKU25547.1	IB49_02655	pantoate--beta-alanine ligase	19.756608110770514	1.2229487092620993e-4
Geo_0	Geo_0_1	AKU25548.1	IB49_02660	3-methyl-2-oxobutanoate hydroxymethyltransferase	24.116586952107134	0.002511265641110565
Geo_0	Geo_0_1	AKU25549.1	IB49_02665	biotin--acetyl-CoA-carboxylase ligase	20.11447507279731	1.567245144568281e-4
Geo_0	Geo_0_1	AKU25550.1	IB49_02675	N-acetyl-alpha-D-glucosaminyl L-malate synthase	19.130959376981043	7.92627630314085e-5
Geo_0	Geo_0_1	AKU25552.1	IB49_02685	methylglyoxal synthase	21.416477913524997	3.8643712512090344e-4
Geo_0	Geo_0_1	AKU25553.1	IB49_02690	dihydrodipicolinate reductase	21.48164962169441	4.042941726039672e-4
Geo_0	Geo_0_1	AKU25554.1	IB49_02695	nucleotide pyrophosphohydrolase	22.4690389785695	8.015512493733958e-4
Geo_0	Geo_0_1	AKU25557.1	IB49_02755	3-phosphoshikimate 1-carboxyvinyltransferase	23.46669072089388	0.0016004952702000745
Geo_0	Geo_0_1	AKU25558.1	IB49_02760	prephenate dehydrogenase	21.495754897750174	4.082663562420738e-4
Geo_0	Geo_0_1	AKU25559.1	IB49_02770	tryptophan synthase subunit alpha	24.516297431223276	0.003312969964033625
Geo_0	Geo_0_1	AKU25560.1	IB49_02775	tryptophan synthase subunit beta	22.37149251541593	7.491467228007442e-4
Geo_0	Geo_0_1	AKU25561.1	IB49_02785	indole-3-glycerol phosphate synthase	23.638310808295362	0.001802673976240998
Geo_0	Geo_0_1	AKU25562.1	IB49_02790	anthranilate phosphoribosyltransferase	22.46844099372348	8.012190820306986e-4
Geo_0	Geo_0_1	AKU25563.1	IB49_02800	chorismate mutase	21.592866200365258	4.3669378163020207e-4
Geo_0	Geo_0_1	AKU25564.1	IB49_02805	3-dehydroquinate synthase	22.213380249864837	6.71383013995033e-4
Geo_0	Geo_0_1	AKU25565.1	IB49_02810	chorismate synthase	21.961608147089784	5.638705261959005e-4
Geo_0	Geo_0_1	AKU25566.1	IB49_02815	chemotaxis protein CheR	18.553710174011933	5.312511489581623e-5
Geo_0	Geo_0_1	AKU25567.1	IB49_02820	nucleoside diphosphate kinase	22.99888151936912	0.0011572569379843195
Geo_0	Geo_0_1	AKU25568.1	IB49_02825	heptaprenyl diphosphate synthase	20.683303172464854	2.324723219593586e-4
Geo_0	Geo_0_1	AKU25570.1	IB49_02835	trans-hexaprenyltranstransferase	19.002375228343737	7.250392565881598e-5
Geo_0	Geo_0_1	AKU25572.1	IB49_02845	GTP cyclohydrolase	19.29057164199367	8.853546790195098e-5
Geo_0	Geo_0_1	AKU25573.1	IB49_02850	DNA-binding protein	25.416648590973722	0.0061837255217897
Geo_0	Geo_0_1	AKU25574.1	IB49_02855	stage IV sporulation protein A	20.288671428180084	1.7683786426959778e-4
Geo_0	Geo_0_1	AKU25576.1	IB49_02870	glycerol-3-phosphate dehydrogenase	20.79723924692492	2.5157612845767206e-4
Geo_0	Geo_0_1	AKU25577.1	IB49_02875	GTP-binding protein Der	20.93741546681917	2.7724688559940087e-4
Geo_0	Geo_0_1	AKU25581.1	IB49_02900	30S ribosomal protein S1	23.884032454034227	0.0021374047744643354
Geo_0	Geo_0_1	AKU25582.1	IB49_02905	acyl-phosphate glycerol 3-phosphate acyltransferase	18.846114144307933	6.506122681786522e-5
Geo_0	Geo_0_1	AKU25583.1	IB49_02910	cytidylate kinase	21.704237206205487	4.7174034591487135e-4
Geo_0	Geo_0_1	AKU25586.1	IB49_02950	asparaginase	20.128182841213373	1.5822072948023567e-4
Geo_0	Geo_0_1	AKU25587.1	IB49_02960	glutamate dehydrogenase	21.88377783434936	5.342568948743817e-4
Geo_0	Geo_0_1	AKU25594.1	IB49_03000	ATP-dependent DNA helicase	18.75143070071244	6.0928388504938544e-5
Geo_0	Geo_0_1	AKU25596.1	IB49_03010	ferredoxin	23.620382225228916	0.0017804105043344523
Geo_0	Geo_0_1	AKU25597.1	IB49_03015	inorganic diphosphatase	24.63512260460094	0.0035973893113422995
Geo_0	Geo_0_1	AKU25598.1	IB49_03020	D-3-phosphoglycerate dehydrogenase	23.156659897940692	0.0012909987381007559
Geo_0	Geo_0_1	AKU25599.1	IB49_03025	histidinol phosphatase	22.125518944889166	6.317153954210738e-4
Geo_0	Geo_0_1	AKU25602.1	IB49_03045	ATPase	18.27807675756912	4.388599569469146e-5
Geo_0	Geo_0_1	AKU25604.1	IB49_03055	ATP:cob(I)alamin adenosyltransferase	21.565247009794138	4.2841315991682294e-4
Geo_0	Geo_0_1	AKU25605.1	IB49_03060	cobalamin biosynthesis protein	20.294159636909914	1.775118608018381e-4
Geo_0	Geo_0_1	AKU25606.1	IB49_03065	phosphoglycerate mutase	19.121210031406342	7.872893234276127e-5
Geo_0	Geo_0_1	AKU25608.1	IB49_03075	cobalamin biosynthesis protein	20.21643124041183	1.6820108685823627e-4
Geo_0	Geo_0_1	AKU25609.1	IB49_03080	threonine-phosphate decarboxylase	19.574563756336307	1.0779718795130136e-4
Geo_0	Geo_0_1	AKU25611.1	IB49_03090	iron ABC transporter ATPase	17.076253197656744	1.9078358931236217e-5
Geo_0	Geo_0_1	AKU25612.1	IB49_03100	iron ABC transporter substrate-binding protein	20.636475592496705	2.2504778728294386e-4
Geo_0	Geo_0_1	AKU25613.1	IB49_03105	DNA mismatch repair protein MutT	16.65727415119205	1.4269729959477527e-5
Geo_0	Geo_0_1	AKU25614.1	IB49_03110	transposase	19.977111378596277	1.4249064119826207e-4
Geo_0	Geo_0_1	AKU25615.1	IB49_03115	transposase	14.136764881667764	2.4869488904116753e-6
Geo_0	Geo_0_1	AKU25617.1	IB49_03125	acetamidase	22.67379775277856	9.237827074320091e-4
Geo_0	Geo_0_1	AKU25624.1	IB49_03175	histidine kinase	17.437479245152556	2.4506477461594247e-5
Geo_0	Geo_0_1	AKU25625.1	IB49_03180	transcriptional regulator	22.276255748299306	7.012901845107319e-4
Geo_0	Geo_0_1	AKU25630.1	IB49_03230	hypothetical protein	19.184506493368076	8.225996030577907e-5
Geo_0	Geo_0_1	AKU25631.1	IB49_03235	segregation and condensation protein B	19.30703826275544	8.955178226238472e-5
Geo_0	Geo_0_1	AKU25633.1	IB49_03255	reductase	16.81663209319271	1.593629187071121e-5
